utc,time,nav_type,latitude,longitude,altitude,speed,heading,ehpe,evpe,hdop,signal_strength_4th
1345839240,Fri Aug 24 21:14:00 2012,0x0204,45.539742,-122.7240333,77.28,0.5,229.5,8.56,2.4,5,28
1345839241,Fri Aug 24 21:14:01 2012,0x0204,45.5397308,-122.7240477,77.76,0.97,238.5,8.56,2.4,5,25
1345839242,Fri Aug 24 21:14:02 2012,0x0204,45.5397196,-122.7240733,77.92,2.48,243,11.47,2.4,5,24
1345839243,Fri Aug 24 21:14:03 2012,0x0204,45.5397084,-122.7241133,78.24,2.93,237,11.47,2.4,5,27
1345839244,Fri Aug 24 21:14:04 2012,0x0204,45.5396892,-122.7241565,78.72,2.93,238.5,10.4,2.4,5,25
1345839245,Fri Aug 24 21:14:05 2012,0x0204,45.53967,-122.7242013,78.72,3.08,234,10.92,2.4,5,30
1345839246,Fri Aug 24 21:14:06 2012,0x0204,45.5396476,-122.7242461,78.88,3.11,234,10.92,2.4,5,28
1345839247,Fri Aug 24 21:14:07 2012,0x0204,45.5396316,-122.7242925,79.04,3.31,238.5,10.4,2.29,5,30
1345839248,Fri Aug 24 21:14:08 2012,0x0204,45.5396188,-122.7243373,78.88,3.27,240,10.4,2.29,5,30
1345839249,Fri Aug 24 21:14:09 2012,0x0204,45.5396012,-122.7243853,78.72,3.34,243,10.4,2.29,5,30
1345839250,Fri Aug 24 21:14:10 2012,0x0204,45.5395916,-122.7244413,78.56,4,258,9.44,2.29,5,30
1345839251,Fri Aug 24 21:14:11 2012,0x0204,45.5395852,-122.7244973,78.72,3.27,264,8.99,2.29,5,30
1345839252,Fri Aug 24 21:14:12 2012,0x0204,45.5395868,-122.7245437,78.72,2.63,280.5,9.44,2.29,5,33
1345839253,Fri Aug 24 21:14:13 2012,0x0204,45.5395836,-122.7245853,78.88,2.13,271.5,9.44,2.29,5,33
1345839254,Fri Aug 24 21:14:14 2012,0x0204,45.5395804,-122.7246157,79.04,1.49,276,8.99,2.29,5,33
1345839255,Fri Aug 24 21:14:15 2012,0x0204,45.539574,-122.7246461,78.88,1.5,268.5,10.4,2.29,5,30
1345839256,Fri Aug 24 21:14:16 2012,0x0204,45.5395564,-122.7246781,78.88,2.29,237,10.4,2.29,5,30
1345839257,Fri Aug 24 21:14:17 2012,0x0204,45.539534,-122.7247085,79.04,2.85,232.5,10.4,2.29,5,30
1345839258,Fri Aug 24 21:14:18 2012,0x0204,45.5395084,-122.7247453,78.88,3.21,231,10.4,2.29,5,30
1345839259,Fri Aug 24 21:14:19 2012,0x0204,45.5394828,-122.7247805,79.36,2.5,220.5,10.4,2.29,5,28
1345839260,Fri Aug 24 21:14:20 2012,0x0204,45.5394556,-122.7248093,79.36,3.24,217.5,10.4,2.29,5,28
1345839261,Fri Aug 24 21:14:21 2012,0x0204,45.5394316,-122.7248429,79.36,2.76,222,9.91,2.29,5,30
1345839262,Fri Aug 24 21:14:22 2012,0x0204,45.5394076,-122.7248749,79.68,2.76,237,9.91,2.18,5,30
1345839263,Fri Aug 24 21:14:23 2012,0x0204,45.5393836,-122.7249149,80,3.37,237,9.91,2.18,5,30
1345839264,Fri Aug 24 21:14:24 2012,0x0204,45.5393564,-122.7249581,80.16,3.65,235.5,9.91,2.18,5,30
1345839265,Fri Aug 24 21:14:25 2012,0x0204,45.5393372,-122.7249949,80.8,2.82,234,11.47,2.18,5,30
1345839266,Fri Aug 24 21:14:26 2012,0x0204,45.5393228,-122.7250301,80.96,1.82,237,11.47,2.18,5,30
1345839267,Fri Aug 24 21:14:27 2012,0x0204,45.5393084,-122.7250605,81.12,2.5,226.5,12.65,2.18,5,30
1345839268,Fri Aug 24 21:14:28 2012,0x0204,45.5392908,-122.7250893,81.28,2.45,231,10.92,2.18,5,24
1345839269,Fri Aug 24 21:14:29 2012,0x0204,45.5392684,-122.7251181,81.6,2.76,219,10.92,2.18,5,27
1345839270,Fri Aug 24 21:14:30 2012,0x0204,45.539238,-122.7251517,81.92,3.48,220.5,10.92,2.18,5,27
1345839271,Fri Aug 24 21:14:31 2012,0x0204,45.5392124,-122.7251885,81.92,3.34,226.5,10.92,2.18,5,28
1345839272,Fri Aug 24 21:14:32 2012,0x0204,45.5391868,-122.7252333,81.92,3.55,238.5,11.47,2.18,10,28
1345839273,Fri Aug 24 21:14:33 2012,0x0214,45.5391596,-122.7252685,81.44,2.85,225,13.94,2.08,14,28
1345839274,Fri Aug 24 21:14:34 2012,0x0214,45.539134,-122.7252973,81.28,3.18,216,16.14,2.08,14,27
1345839275,Fri Aug 24 21:14:35 2012,0x0204,45.5391164,-122.7253277,81.44,2.03,226.5,14.64,2.08,10,27
1345839276,Fri Aug 24 21:14:36 2012,0x0204,45.539102,-122.7253501,81.6,2.03,219,13.94,2.08,10,27
1345839277,Fri Aug 24 21:14:37 2012,0x0204,45.5390828,-122.7253693,81.76,2.31,201,13.94,2.08,10,21
1345839278,Fri Aug 24 21:14:38 2012,0x0204,45.5390572,-122.7253933,82.24,2.93,210,13.94,2.08,10,22
1345839279,Fri Aug 24 21:14:39 2012,0x0204,45.5390284,-122.7254141,82.4,3.11,213,13.94,2.08,10,22
1345839280,Fri Aug 24 21:14:40 2012,0x0204,45.5389996,-122.7254445,82.56,3.18,226.5,14.64,2.08,10,22
1345839281,Fri Aug 24 21:14:41 2012,0x0204,45.5389756,-122.7254829,83.04,2.96,232.5,14.64,2.08,10,22
1345839282,Fri Aug 24 21:14:42 2012,0x0204,45.5389484,-122.7255213,83.36,3.34,228,14.64,2.08,10,22
1345839283,Fri Aug 24 21:14:43 2012,0x0204,45.538926,-122.7255549,83.68,2.76,222,14.64,2.08,10,24
1345839284,Fri Aug 24 21:14:44 2012,0x0204,45.5389084,-122.7255933,84,3.24,225,14.64,2.18,10,24
1345839285,Fri Aug 24 21:14:45 2012,0x0204,45.5388876,-122.7256365,84.32,3.44,228,14.64,2.18,10,22
1345839286,Fri Aug 24 21:14:46 2012,0x0204,45.5388684,-122.7256797,84.64,3.41,226.5,14.64,2.18,10,24
1345839287,Fri Aug 24 21:14:47 2012,0x0204,45.5388444,-122.7257229,84.96,3.69,229.5,14.64,2.18,10,24
1345839288,Fri Aug 24 21:14:48 2012,0x0204,45.5388172,-122.7257709,85.6,4.12,231,12.04,2.18,5,24
1345839289,Fri Aug 24 21:14:49 2012,0x0204,45.5387964,-122.7258189,86.56,3.76,234,12.04,2.18,5,24
1345839290,Fri Aug 24 21:14:50 2012,0x0204,45.538782,-122.7258573,87.36,2.63,247.5,13.28,2.18,5,24
1345839291,Fri Aug 24 21:14:51 2012,0x0204,45.538766,-122.7258957,88.16,3.37,238.5,13.28,2.18,5,24
1345839292,Fri Aug 24 21:14:52 2012,0x0204,45.538742,-122.7259373,89.28,3.41,228,13.28,2.18,5,24
1345839293,Fri Aug 24 21:14:53 2012,0x0204,45.5387132,-122.7259853,90.4,4.28,234,13.28,2.18,5,24
1345839294,Fri Aug 24 21:14:54 2012,0x0204,45.5386908,-122.7260317,91.36,3.84,240,13.28,2.18,5,24
1345839295,Fri Aug 24 21:14:55 2012,0x0204,45.53867,-122.7260701,92.16,3.37,238.5,13.28,2.18,5,24
1345839296,Fri Aug 24 21:14:56 2012,0x0204,45.5386588,-122.7261037,92.96,2.85,240,13.28,2.18,5,22
1345839297,Fri Aug 24 21:14:57 2012,0x0204,45.5386492,-122.7261421,93.76,3.27,240,13.28,2.18,5,22
1345839298,Fri Aug 24 21:14:58 2012,0x0204,45.53863,-122.7261917,94.4,4,234,13.28,2.18,5,22
1345839299,Fri Aug 24 21:14:59 2012,0x0204,45.5386108,-122.7262445,95.04,4.5,232.5,13.28,2.18,5,22
1345839300,Fri Aug 24 21:15:00 2012,0x0204,45.5385916,-122.7262941,95.68,4.41,226.5,12.65,2.18,10,22
1345839301,Fri Aug 24 21:15:01 2012,0x0204,45.5385692,-122.7263341,96,4.28,216,12.65,2.18,10,22
1345839302,Fri Aug 24 21:15:02 2012,0x0204,45.53855,-122.7263773,96.48,4.37,222,13.28,2.18,10,22
1345839303,Fri Aug 24 21:15:03 2012,0x0204,45.5385292,-122.7264285,96.96,4.78,222,12.04,2.18,10,22
1345839304,Fri Aug 24 21:15:04 2012,0x0204,45.5385148,-122.7264829,97.28,4.28,231,12.04,2.18,10,22
1345839305,Fri Aug 24 21:15:05 2012,0x0204,45.5385132,-122.7265389,97.76,3.55,244.5,12.04,2.18,10,22
1345839306,Fri Aug 24 21:15:06 2012,0x0204,45.5385196,-122.7265901,98.24,3.05,267,12.65,2.18,10,24
1345839307,Fri Aug 24 21:15:07 2012,0x0204,45.5385292,-122.7266397,98.88,2.4,262.5,12.65,2.18,10,24
1345839308,Fri Aug 24 21:15:08 2012,0x0204,45.5385404,-122.7266797,99.68,2.15,240,12.65,2.18,10,22
1345839309,Fri Aug 24 21:15:09 2012,0x0214,45.53855,-122.7267213,99.04,1.84,235.5,16.14,2.18,7,24
1345839310,Fri Aug 24 21:15:10 2012,0x0214,45.538558,-122.7267581,98.56,2.03,226.5,14.64,2.08,7,24
1345839311,Fri Aug 24 21:15:11 2012,0x0214,45.5385788,-122.7267773,97.76,0.59,264,14.64,2.08,7,25
1345839312,Fri Aug 24 21:15:12 2012,0x0214,45.5386028,-122.7267773,97.12,0.59,52.5,14.64,2.08,7,27
1345839313,Fri Aug 24 21:15:13 2012,0x0214,45.538622,-122.7267693,96.32,0.62,51,14.64,1.98,7,27
1345839314,Fri Aug 24 21:15:14 2012,0x0214,45.5386268,-122.7267645,95.84,0,112.5,15.37,1.98,7,30
1345839315,Fri Aug 24 21:15:15 2012,0x0214,45.5386476,-122.7267533,95.2,1.47,76.5,15.37,1.98,7,28
1345839316,Fri Aug 24 21:15:16 2012,0x0214,45.5386652,-122.7267309,94.56,2.11,79.5,14.64,1.88,7,30
1345839317,Fri Aug 24 21:15:17 2012,0x0214,45.5386844,-122.7267005,94.08,2.31,70.5,12.65,1.88,7,25
1345839318,Fri Aug 24 21:15:18 2012,0x0214,45.5387148,-122.7266701,93.6,3.24,42,14.64,1.88,7,30
1345839319,Fri Aug 24 21:15:19 2012,0x0214,45.5387532,-122.7266397,93.12,3.69,36,13.94,1.88,7,31
1345839320,Fri Aug 24 21:15:20 2012,0x0214,45.53879,-122.7266077,92.64,3.69,36,14.64,1.79,7,30
1345839321,Fri Aug 24 21:15:21 2012,0x0214,45.5388316,-122.7265773,92.32,4.08,36,15.37,1.79,7,25
1345839322,Fri Aug 24 21:15:22 2012,0x0214,45.5388604,-122.7265485,91.84,2.79,45,15.37,1.79,7,25
1345839323,Fri Aug 24 21:15:23 2012,0x0214,45.538902,-122.7265197,91.52,3.21,39,15.37,1.79,7,25
1345839324,Fri Aug 24 21:15:24 2012,0x0214,45.538926,-122.7264925,91.2,2.82,40.5,15.37,1.79,7,25
1345839325,Fri Aug 24 21:15:25 2012,0x0214,45.5389516,-122.7264749,90.88,2.79,21,15.37,1.79,7,25
1345839326,Fri Aug 24 21:15:26 2012,0x0214,45.5389836,-122.7264621,90.56,2.74,16.5,15.37,1.71,7,25
1345839327,Fri Aug 24 21:15:27 2012,0x0214,45.539022,-122.7264445,90.24,3.62,21,15.37,1.71,7,27
1345839328,Fri Aug 24 21:15:28 2012,0x0214,45.5390508,-122.7264317,90.08,2.22,19.5,16.14,1.71,7,27
1345839329,Fri Aug 24 21:15:29 2012,0x0214,45.5390796,-122.7264173,89.76,2.33,30,15.37,1.71,7,27
1345839330,Fri Aug 24 21:15:30 2012,0x0214,45.5391068,-122.7263981,89.6,2.85,31.5,15.37,1.71,7,27
1345839331,Fri Aug 24 21:15:31 2012,0x0214,45.5391452,-122.7263709,89.28,2.99,37.5,14.64,1.71,7,27
1345839332,Fri Aug 24 21:15:32 2012,0x0214,45.5391804,-122.7263501,89.12,2.74,27,14.64,1.71,7,30
1345839333,Fri Aug 24 21:15:33 2012,0x0214,45.5392204,-122.7263293,88.8,3.18,19.5,15.37,1.71,7,30
1345839334,Fri Aug 24 21:15:34 2012,0x0214,45.5392716,-122.7263133,88.64,4.46,13.5,16.14,1.62,7,30
1345839335,Fri Aug 24 21:15:35 2012,0x0214,45.5393068,-122.7263037,88.48,3.21,7.5,15.37,1.62,7,30
1345839336,Fri Aug 24 21:15:36 2012,0x0214,45.5393372,-122.7262973,88.32,3.21,9,13.28,1.62,7,30
1345839337,Fri Aug 24 21:15:37 2012,0x0214,45.539366,-122.7262941,88.16,2.6,12,15.37,1.62,7,30
1345839338,Fri Aug 24 21:15:38 2012,0x0214,45.5393916,-122.7262973,88,1.85,352.5,15.37,1.62,7,28
1345839339,Fri Aug 24 21:15:39 2012,0x0214,45.5394124,-122.7263037,87.84,1.87,1.5,15.37,1.62,7,28
1345839340,Fri Aug 24 21:15:40 2012,0x0214,45.5394332,-122.7263165,87.52,1.66,342,14.64,1.62,7,27
1345839341,Fri Aug 24 21:15:41 2012,0x0214,45.5394572,-122.7263309,87.36,2.82,339,15.37,1.62,7,27
1345839342,Fri Aug 24 21:15:42 2012,0x0214,45.5394796,-122.7263565,87.04,2.82,324,13.94,1.62,7,27
1345839343,Fri Aug 24 21:15:43 2012,0x0214,45.53951,-122.7263869,87.04,3.58,333,13.28,1.62,7,27
1345839344,Fri Aug 24 21:15:44 2012,0x0214,45.53955,-122.7264141,86.88,3.18,330,13.94,1.62,7,25
1345839345,Fri Aug 24 21:15:45 2012,0x0214,45.539574,-122.7264477,86.88,3.58,334.5,13.94,1.62,7,25
1345839346,Fri Aug 24 21:15:46 2012,0x0214,45.539598,-122.7264829,86.88,2.99,334.5,14.64,1.62,7,27
1345839347,Fri Aug 24 21:15:47 2012,0x0214,45.5396268,-122.7265005,86.88,2.2,351,15.37,1.62,7,27
