utc,time,nav_type,latitude,longitude,altitude,speed,heading,ehpe,evpe,hdop,signal_strength_4th
1345839240,Fri Aug 24 21:14:00 2012,0x0204,45.539742,-122.7240333,77.28,0.5,229.5,8.56,2.4,5,28
1345839241,Fri Aug 24 21:14:01 2012,0x0204,45.5397308,-122.7240477,77.76,0.5004,238.5,8.56,2.4,5,25
1345839242,Fri Aug 24 21:14:02 2012,0x0204,45.5397196,-122.7240733,77.92,0.50080032,243,11.47,2.4,5,24
1345839243,Fri Aug 24 21:14:03 2012,0x0204,45.5397084,-122.7241133,78.24,0.50120096,237,11.47,2.4,5,27
1345839244,Fri Aug 24 21:14:04 2012,0x0204,45.5396892,-122.7241565,78.72,0.501601921,238.5,10.4,2.4,5,25
1345839245,Fri Aug 24 21:14:05 2012,0x0204,45.53967,-122.7242013,78.72,0.502003203,234,10.92,2.4,5,30
1345839246,Fri Aug 24 21:14:06 2012,0x0204,45.5396476,-122.7242461,78.88,0.502404805,234,10.92,2.4,5,28
1345839247,Fri Aug 24 21:14:07 2012,0x0204,45.5396316,-122.7242925,79.04,0.502806729,238.5,10.4,2.29,5,30
1345839248,Fri Aug 24 21:14:08 2012,0x0204,45.5396188,-122.7243373,78.88,0.503208974,240,10.4,2.29,5,30
1345839249,Fri Aug 24 21:14:09 2012,0x0204,45.5396012,-122.7243853,78.72,0.503611542,243,10.4,2.29,5,30
1345839250,Fri Aug 24 21:14:10 2012,0x0204,45.5395916,-122.7244413,78.56,0.504014431,258,9.44,2.29,5,30
1345839251,Fri Aug 24 21:14:11 2012,0x0204,45.5395852,-122.7244973,78.72,0.504417642,264,8.99,2.29,5,30
1345839252,Fri Aug 24 21:14:12 2012,0x0204,45.5395868,-122.7245437,78.72,0.504821176,280.5,9.44,2.29,5,33
1345839253,Fri Aug 24 21:14:13 2012,0x0204,45.5395836,-122.7245853,78.88,0.505225033,271.5,9.44,2.29,5,33
1345839254,Fri Aug 24 21:14:14 2012,0x0204,45.5395804,-122.7246157,79.04,0.505629213,276,8.99,2.29,5,33
1345839255,Fri Aug 24 21:14:15 2012,0x0204,45.539574,-122.7246461,78.88,0.506033717,268.5,10.4,2.29,5,30
